date,oranges,apples,pears,bananas,grapes
2000,"[1,3,1]","[2,2,1]","[5,2,7]","[1,2,7]","[5,8,2]"
2001,"[2,6,8]","[4,3,1]","[4,2,7]","[2,2,7]","[5,8,2]"
2002,"[3,7,5]","[6,5,1]","[3,2,7]","[3,2,6]","[5,8,2]"
2003,"[4,2,3]","[8,7,1]","[2,5,7]","[1,2,6]","[2,8,3]"
2004,"[5,3,2]","[10,8,1]","[1,5,6]","[2,4,5]","[2,8,3]"
2005,"[6,4,4]","[12,5,3]","[2,3,6]","[3,4,4]","[2,3,3]"
2006,"[7,7,7]","[14,4,3]","[3,4,6]","[1,4,4]","[5,3,5]"
2007,"[8,6,7]","[16,5,3]","[4,3,6]","[2,6,4]","[5,3,5]"
2008,"[9,2,5]","[18,6,3]","[5,2,5]","[3,6,3]","[5,3,5]"
2009,"[10,4,3]","[20,6,4]","[6,5,5]","[1,7,3]","[2,3,5]"
