Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000062,Hastings,E02004368,Hastings001,175000,1000,840
E07000062,Hastings,E02004369,Hastings002,215000,1800,740
E07000062,Hastings,E02004370,Hastings003,152950,559,640
E07000062,Hastings,E02004371,Hastings004,150000,500,670
E07000062,Hastings,E02004372,Hastings005,130000,100,590
E07000062,Hastings,E02004373,Hastings006,169000,880,700
E07000062,Hastings,E02004374,Hastings007,154000,580,680
E07000062,Hastings,E02004375,Hastings008,130000,100,650
E07000062,Hastings,E02004376,Hastings009,96000,0,600
E07000062,Hastings,E02004377,Hastings010,152250,545,690
E07000062,Hastings,E02004378,Hastings011,95000,0,560
