Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
W06000005,Flintshire,W02000058,Flintshire001,120000,0,580
W06000005,Flintshire,W02000059,Flintshire002,95500,0,650
W06000005,Flintshire,W02000060,Flintshire003,90000,0,520
W06000005,Flintshire,W02000061,Flintshire004,96000,0,500
W06000005,Flintshire,W02000062,Flintshire005,112250,0,710
W06000005,Flintshire,W02000063,Flintshire006,127500,50,750
W06000005,Flintshire,W02000064,Flintshire007,95000,0,550
W06000005,Flintshire,W02000065,Flintshire008,113000,0,640
W06000005,Flintshire,W02000066,Flintshire009,94750,0,570
W06000005,Flintshire,W02000067,Flintshire010,145750,415,780
W06000005,Flintshire,W02000068,Flintshire011,112500,0,640
W06000005,Flintshire,W02000069,Flintshire012,140000,300,770
W06000005,Flintshire,W02000070,Flintshire013,156000,620,800
W06000005,Flintshire,W02000071,Flintshire014,136000,220,710
W06000005,Flintshire,W02000072,Flintshire015,129000,80,670
W06000005,Flintshire,W02000073,Flintshire016,124450,0,680
W06000005,Flintshire,W02000074,Flintshire017,127875,58,600
W06000005,Flintshire,W02000075,Flintshire018,170748,915,850
W06000005,Flintshire,W02000076,Flintshire019,114000,0,700
W06000005,Flintshire,W02000077,Flintshire020,120000,0,700
