Country or Area Name,R 1990,R 2015,1990,2005
Germany,1,9,3.4,2.1
Sweden,2,6,3.5,1.6
France,3,12,3.6,2.2
Finland,4,2,3.9,1.3
Luxembourg,5,1,4.3,0.9
Denmark,6,16,4.4,2.5
UK ONS,7,19,4.5,2.7
Austria,8,10,4.6,2.1
Belgium,9,13,4.6,2.2
Netherlands,10,15,4.6,2.4
Ireland,11,14,4.7,2.3
Cyprus,12,4,5.6,1.5
Slovenia,13,3,5.7,1.4
Italy,14,11,6.4,2.1
Spain,15,20,7.1,2.8
Portugal,16,8,7.2,2
Malta,17,25,7.5,4.4
Croatia,18,18,8.1,2.6
Greece,19,21,9.5,2.9
Lithuania,20,17,9.5,2.5
Czechia,21,7,10.3,1.8
Poland,22,22,11.1,3.1
Bulgaria,23,27,11.6,5.6
Latvia,24,26,12,5.2
Slovakia,25,24,12.5,4.2
Romania,26,28,13.5,6.3
Hungary,27,23,13.6,3.5
Estonia,28,5,13.8,1.5
