Country or Area Name,R 1990,R 2015,1990,2015
Luxembourg,5,1,8.8,1.9
Finland,1,2,6.7,2.3
Slovenia,13,3,10.4,2.6
Cyprus,15,4,11.1,2.7
Estonia,25,5,20.2,2.9
Sweden,2,6,6.9,3
Czechia,19,7,14.6,3.4
Denmark,6,8,8.9,3.5
Austria,10,9,9.5,3.5
Italy,11,10,9.7,3.5
Ireland,8,11,9.2,3.6
Portugal,20,12,14.7,3.6
Germany,4,13,8.5,3.7
Netherlands,3,14,8.3,3.8
Belgium,12,15,10,4.1
Spain,14,16,11,4.1
France,7,17,9,4.3
Croatia,18,18,12.9,4.3
UK,9,19,9.3,4.5
Greece,17,20,12.6,4.6
Lithuania,21,21,16.5,5.2
Poland,22,22,17.3,5.2
Hungary,24,23,19.1,5.9
Malta,16,24,11.3,6.4
Slovakia,23,25,17.7,7.3
Latvia,26,26,20.4,7.9
Bulgaria,27,27,22.1,10.4
Romania,28,28,37.7,11.1
