id,parentId,name,size,var2,var3,var4,var5
c0,NULL,T: Total,10000,1,1,1,1
c1,c0,"0and1: Food, beverages & tobacco",62,1,1,1,1
c1_1,c1,0: Food & live animals,49,1,1,1,1
c1_1_1,c1_1,00: Live animals,2,1,1,1,1
c1_1_1_1,c1_1_1,01.4A: Live animals,1,1,1,1,1
c1_1_1_2,c1_1_1,03.0A: Live marine mammals,1,1,1,1,1
c1_1_2,c1_1,01: Meat & meat preparations,3,1,1,1,1
c1_1_2_1,c1_1_2,01.4B: Snails,1,1,1,1,1
c1_1_2_2,c1_1_2,"10.1A: Fresh, chilled or frozen meat, meat products for human consumption",1,1,1,1,1
c1_1_2_3,c1_1_2,10.8A: Meat extracts & juices,1,1,1,1,1
c1_1_3,c1_1,02: Dairy products & eggs,3,1,1,1,1
c1_1_3_1,c1_1_3,01.4C: Eggs in shell,1,1,1,1,1
c1_1_3_2,c1_1_3,"10.5A: Milk, butter, cheese, yoghurt, ice cream etc",1,1,1,1,1
c1_1_3_3,c1_1_3,10.8B: Processed eggs,1,1,1,1,1
c1_1_4,c1_1,03: Fish & shellfish,2,1,1,1,1
c1_1_4_1,c1_1_4,03.0B: Fresh or chilled fish & shellfish,1,1,1,1,1
c1_1_4_2,c1_1_4,10.2A: Processed & preserved fish & shellfish,1,1,1,1,1
c1_1_5,c1_1,04and08: Cereals & animal feeding stuffs,1,1,1,1,1
c1_1_5_1,c1_1_5,04: Cereals,1,1,1,1,1
c1_1_5_1_1,c1_1_5_1,01.1A: Unmilled cereals,1,1,1,1,1
c1_1_5_1_2,c1_1_5_1,10.6A: Processed cereals,1,1,1,1,1
c1_1_5_1_3,c1_1_5_1,"10.7A: Bread, cakes, biscuits & pasta",1,1,1,1,1
c1_1_5_1_4,c1_1_5_1,11.06: Malt,1,1,1,1,1
c1_1_5_2,c1_1_5,08: Animal feeding stuffs,1,1,1,1,1
c1_1_5_2_1,c1_1_5_2,01.1C: Straw & forage,1,1,1,1,1
c1_1_5_2_2,c1_1_5_2,10.1B: Meat meal for animals,1,1,1,1,1
c1_1_5_2_3,c1_1_5_2,10.2B: Fish meal for animals,1,1,1,1,1
c1_1_5_2_4,c1_1_5_2,10.3B: Vegetable waste,1,1,1,1,1
c1_1_5_2_5,c1_1_5_2,10.4A: Oilcake,1,1,1,1,1
c1_1_5_2_6,c1_1_5_2,"10.6D: Bran, residues of starch manufacture",1,1,1,1,1
c1_1_5_2_7,c1_1_5_2,10.8E: Residues of sugar manufactures,1,1,1,1,1
c1_1_5_2_8,c1_1_5_2,10.9: Prepared feeds for farm animals & pets,1,1,1,1,1
c1_1_5_2_9,c1_1_5_2,11.02A: Wine lees,1,1,1,1,1
c1_1_5_2_10,c1_1_5_2,11.05A: Brewing dregs,1,1,1,1,1
c1_1_6,c1_1,05: Vegetables & fruit,1,1,1,1,1
c1_1_6_1,c1_1_6,01.1B: Fresh or chilled vegetables & vegetable products,1,1,1,1,1
c1_1_6_2,c1_1_6,"01.2A: Fruits, nuts & berries",1,1,1,1,1
c1_1_6_3,c1_1_6,"10.3A: Processed & preserved fruit & vegetable, fruit & vegetable juices",1,1,1,1,1
c1_1_6_4,c1_1_6,"10.6B: Vegetable flour & meal, tapioca",1,1,1,1,1
c1_1_7,c1_1,06: Sugar,1,1,1,1,1
c1_1_7_1,c1_1_7,01.4D: Honey,1,1,1,1,1
c1_1_7_2,c1_1_7,10.5B: Lactose,1,1,1,1,1
c1_1_7_3,c1_1_7,"10.6C: Glucose, fructose etc",1,1,1,1,1
c1_1_7_4,c1_1_7,10.8C: Sugar & sugar confectionery,1,1,1,1,1
c1_1_8,c1_1,"07: Coffee, tea, cocoa etc",1,1,1,1,1
c1_1_8_1,c1_1_8,01.2B: Beverage crops & raw spices,1,1,1,1,1
c1_1_8_2,c1_1_8,"10.8D: Processed tea, coffee, cocoa, chocolate & spices",1,1,1,1,1
c1_1_9,c1_1,09: Miscellaneous foods,1,1,1,1,1
c1_1_9_1,c1_1_9,01.4E: Other edible products of animal origin,1,1,1,1,1
c1_1_9_2,c1_1_9,10.4B: Margarine & similiar edible fats,1,1,1,1,1
c1_1_9_3,c1_1_9,10.7B: Couscous,1,1,1,1,1
c1_1_9_4,c1_1_9,10.8F: Food products n.e.s,1,1,1,1,1
c1_2,c1,1: Beverages & tobacco,1,1,1,1,1
c1_2_1,c1_2,11: Beverages,1,1,1,1,1
c1_2_1_1,c1_2_1,11.01: Distilled alcoholic beverages,1,1,1,1,1
c1_2_1_2,c1_2_1,11.02B: Wine,1,1,1,1,1
c1_2_1_3,c1_2_1,11.03: Cider & other fruit wines,1,1,1,1,1
c1_2_1_4,c1_2_1,11.04: Other non-distilled fermented beverages,1,1,1,1,1
