id,name,rank1,rank2,rank3,rank4,rank5,trade_val1,trade_val2,trade_val3,trade_val4,trade_val5,eu_row_split
c0,T: Total,Spain,Germany,C,D,E,5,4,3,2,1,0.5
c1,"0and1: Food, beverages & tobacco",A,B,C,D,E,5,4,3,2,1,0.5
c1_1,0: Food & live animals,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_1,00: Live animals,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_1_1,01.4A: Live animals,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_1_2,03.0A: Live marine mammals,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_2,01: Meat & meat preparations,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_2_1,01.4B: Snails,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_2_2,"10.1A: Fresh, chilled or frozen meat, meat products for human consumption",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_2_3,10.8A: Meat extracts & juices,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_3,02: Dairy products & eggs,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_3_1,01.4C: Eggs in shell,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_3_2,"10.5A: Milk, butter, cheese, yoghurt, ice cream etc",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_3_3,10.8B: Processed eggs,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_4,03: Fish & shellfish,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_4_1,03.0B: Fresh or chilled fish & shellfish,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_4_2,10.2A: Processed & preserved fish & shellfish,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5,04and08: Cereals & animal feeding stuffs,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_1,04: Cereals,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_1_1,01.1A: Unmilled cereals,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_1_2,10.6A: Processed cereals,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_1_3,"10.7A: Bread, cakes, biscuits & pasta",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_1_4,11.06: Malt,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2,08: Animal feeding stuffs,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_1,01.1C: Straw & forage,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_2,10.1B: Meat meal for animals,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_3,10.2B: Fish meal for animals,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_4,10.3B: Vegetable waste,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_5,10.4A: Oilcake,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_6,"10.6D: Bran, residues of starch manufacture",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_7,10.8E: Residues of sugar manufactures,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_8,10.9: Prepared feeds for farm animals & pets,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_9,11.02A: Wine lees,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_5_2_10,11.05A: Brewing dregs,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_6,05: Vegetables & fruit,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_6_1,01.1B: Fresh or chilled vegetables & vegetable products,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_6_2,"01.2A: Fruits, nuts & berries",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_6_3,"10.3A: Processed & preserved fruit & vegetable, fruit & vegetable juices",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_6_4,"10.6B: Vegetable flour & meal, tapioca",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_7,06: Sugar,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_7_1,01.4D: Honey,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_7_2,10.5B: Lactose,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_7_3,"10.6C: Glucose, fructose etc",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_7_4,10.8C: Sugar & sugar confectionery,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_8,"07: Coffee, tea, cocoa etc",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_8_1,01.2B: Beverage crops & raw spices,A,B,C,D,E,5,4,3,2,1,0.5
c1_1_8_2,"10.8D: Processed tea, coffee, cocoa, chocolate & spices",A,B,C,D,E,5,4,3,2,1,0.5
c1_1_9,09: Miscellaneous foods,A,B,C,D,E,5,4,3,2,1,0.5
