category,date,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10
1. Food and non-alcoholic beverages,2005,127,140,140,127,108,101,92,82,74,66
1. Food and non-alcoholic beverages,2006,126,135,135,111,105,94,88,77,70,65
1. Food and non-alcoholic beverages,2007,124,135,129,123,103,97,90,82,75,67
1. Food and non-alcoholic beverages,2008,123,137,143,124,112,97,93,87,82,69
1. Food and non-alcoholic beverages,2009,130,151,146,137,119,113,102,97,87,72
1. Food and non-alcoholic beverages,2010,126,132,137,128,109,101,92,87,77,68
1. Food and non-alcoholic beverages,2011,126,141,133,132,119,112,98,93,88,75
1. Food and non-alcoholic beverages,2012,117,139,134,122,114,108,100,93,80,69
1. Food and non-alcoholic beverages,2013,125,129,129,117,109,102,93,86,80,71
1. Food and non-alcoholic beverages,2014,129,131,130,131,115,106,100,91,83,72
1. Food and non-alcoholic beverages,2015,126,132,133,122,107,105,97,87,79,72
1. Food and non-alcoholic beverages,2016,122,130,130,116,107,96,94,83,78,66
1. Food and non-alcoholic beverages,2017,121,122,116,113,107,88,86,81,76,67
1. Food and non-alcoholic beverages,2018,121,122,116,113,107,88,86,81,76,67
10. Education,2005,5,3,2,3,4,6,5,8,15,19
10. Education,2006,7,1,4,3,4,5,5,8,9,18
10. Education,2007,4,5,2,3,6,6,6,9,12,21
10. Education,2008,6,2,3,5,4,6,6,11,10,23
10. Education,2009,11,3,3,4,8,7,5,10,9,24
10. Education,2010,5,2,5,3,7,4,8,11,11,21
10. Education,2011,21,3,2,6,4,5,9,8,7,17
10. Education,2012,12,4,4,5,5,9,5,6,9,18
10. Education,2013,11,7,5,2,6,8,6,10,14,18
10. Education,2014,14,3,5,5,4,6,6,7,10,19
10. Education,2015,22,3,8,3,10,4,5,7,12,21
10. Education,2016,10,4,6,5,4,4,5,10,9,20
10. Education,2017,5,5,8,3,9,4,4,8,7,15
10. Education,2018,5,5,8,3,9,4,4,8,7,15
11. Restaurants and hotels,2005,72,82,91,94,98,99,114,111,120,121
11. Restaurants and hotels,2006,68,79,83,88,99,99,101,108,119,121
11. Restaurants and hotels,2007,83,83,83,91,93,98,108,116,122,124
11. Restaurants and hotels,2008,75,79,81,86,86,106,107,116,116,126
11. Restaurants and hotels,2009,78,74,75,73,90,90,103,108,115,120
11. Restaurants and hotels,2010,64,70,74,77,83,93,94,103,120,120
11. Restaurants and hotels,2011,61,65,70,73,82,88,93,99,103,116
11. Restaurants and hotels,2012,60,63,67,71,73,81,87,95,110,110
11. Restaurants and hotels,2013,62,70,73,73,81,78,94,96,105,117
11. Restaurants and hotels,2014,69,69,72,76,80,82,87,96,112,116
11. Restaurants and hotels,2015,60,65,68,75,82,86,90,104,112,112
11. Restaurants and hotels,2016,74,71,78,78,86,89,94,100,104,116
11. Restaurants and hotels,2017,59,74,78,78,80,85,100,100,107,124
11. Restaurants and hotels,2018,59,74,78,78,80,85,100,100,107,124
