Liability,Asset,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
PC,PC,1,1,1,1,1,1,1,1,1
PC,PNFC,3,4,4,4,2,1,1,1,1
PC,MFI,1,1,2,1,1,1,1,0.0006,0.0006
PC,OFI,0.0006,1,2,12,6,8,11,21,21
PC,ICPF,1,1,1,2,3,4,3,4,5
PC,CG,13,11,12,6,5,5,5,5,5
PC,LG,112,113,116,117,120,122,124,126,128
PC,RoW,4,6,9,1,1,1,1,1,1
PC,Unknown,5,5,4,4,4,4,0.0006,0.0006,0.0006
PNFC,PNFC,61,64,42,55,63,58,58,66,62
PNFC,MFI,451,532,627,555,516,498,468,439,430
PNFC,OFI,45,53,56,61,60,75,66,48,55
PNFC,ICPF,442,488,584,505,501,764,762,579,735
PNFC,CG,8,6,6,6,8,11,7,11,11
PNFC,HH&NPISH,17,17,41,4,4,4,4,4,4
PNFC,RoW,734,764,951,858,907,916,1101,1035,1216
PNFC,Unknown,1764,1823,1280,1668,1852,1743,1782,1933,1808
MFI,PC,7,7,4,4,4,5,3,4,4
MFI,PNFC,275,297,324,319,339,332,349,365,394
MFI,MFI,1773,1475,2673,1972,1704,2073,1968,1789,1584
MFI,OFI,797,1122,2815,2129,2338,2587,2329,2054,1939
MFI,ICPF,190,255,365,311,298,349,308,299,321
MFI,CG,12,17,47,49,39,48,62,30,30
MFI,LG,29,33,30,23,24,22,27,27,28
MFI,HH&NPISH,864,935,988,1009,1036,1064,1119,1165,1212
MFI,RoW,3455,4754,7752,5332,5459,6134,5556,4482,4779
MFI,Unknown,420,513,608,676,713,761,744,649,681
OFI,PC,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
OFI,PNFC,48,50,82,69,127,94,74,61,57
OFI,MFI,850,1274,2855,1959,2053,2306,2126,1839,1691
OFI,OFI,33,40,34,43,161,165,156,137,199
OFI,ICPF,310,359,322,424,547,574,665,709,726
OFI,CG,0.0006,0.0006,14,43,58,30,47,52,52
OFI,HH&NPISH,263,251,222,311,356,322,273,305,369
OFI,RoW,705,728,676,685,1590,1819,1794,2010,2140
OFI,Unknown,930,1004,974,1225,1194,1114,1138,1150,1275
ICPF,PNFC,16,13,13,11,7,5,4,4,4
ICPF,MFI,40,65,155,100,91,133,125,134,147
ICPF,OFI,0.0006,0.0006,0.0006,0.0006,5,9,9,8,12
ICPF,ICPF,7,8,9,8,8,13,11,9,10
ICPF,CG,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,3,1,1
ICPF,LG,1,1,1,1,1,1,1,1,1
ICPF,HH&NPISH,2402,2479,2374,2443,2596,3001,3132,3000,3511
ICPF,RoW,77,69,74,63,62,66,89,94,101
ICPF,Unknown,90,86,60,69,72,63,76,90,108
CG,PC,7,10,10,4,4,4,3,3,3
CG,PNFC,10,11,11,11,11,10,11,11,12
CG,MFI,43,35,71,265,313,422,513,519,576
CG,OFI,48,68,132,84,92,94,56,52,162
CG,ICPF,245,245,242,257,290,359,373,388,481
CG,CG,0.0006,0.0006,0.0006,0.0006,5,4,5,3,3
CG,LG,0.0006,0.0006,2,3,2,3,4,5,5
CG,HH&NPISH,118,124,135,139,147,162,162,168,189
CG,RoW,154,182,243,258,406,482,496,472,471
CG,Unknown,4,4,4,4,4,4,4,4,4
LG,PC,1,0.0006,0.0006,0.0006,1,0.0006,0.0006,0.0006,1
LG,PNFC,0.0006,0.0006,0.0006,0.0006,1,1,1,1,1
LG,MFI,9,10,11,11,12,12,11,11,11
LG,OFI,1,1,1,1,0.0006,0.0006,0.0006,0.0006,0.0006
LG,ICPF,76,70,102,93,75,87,74,69,64
LG,CG,47,49,52,51,54,55,64,64,65
LG,HH&NPISH,1,1,1,0.0006,0.0006,0.0006,0.0006,1,2
LG,RoW,2,2,2,3,3,4,5,5,6
HH&NPISH,PNFC,1,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
HH&NPISH,MFI,955,992,955,1065,1183,1184,1188,1196,1228
HH&NPISH,OFI,292,365,439,326,120,125,133,141,152
HH&NPISH,ICPF,46,48,60,49,48,76,70,61,68
HH&NPISH,CG,20,25,28,34,125,121,121,120,121
HH&NPISH,LG,2,3,4,5,5,6,8,8,10
HH&NPISH,HH&NPISH,2,2,2,2,2,2,2,2,2
HH&NPISH,RoW,15,16,22,23,23,31,33,33,31
HH&NPISH,Unknown,1,1,1,1,1,1,1,1,1
RoW,PC,2,2,2,2,2,2,2,2,2
RoW,PNFC,938,1035,1288,1091,1159,1178,1194,1128,1097
RoW,MFI,3530,4838,7992,5551,5789,6501,5865,4734,5093
RoW,OFI,1029,1144,1116,1175,2144,2369,2243,2562,2711
RoW,ICPF,663,728,703,796,884,877,1000,1032,1036
RoW,CG,22,28,38,35,52,59,64,59,65
RoW,LG,1,1,1,0.0006,0.0006,0.0006,0.0006,1,1
RoW,HH&NPISH,122,137,144,122,124,124,125,133,133
Unknown,PC,2,2,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Unknown,PNFC,38,44,63,69,57,57,59,63,78
Unknown,MFI,364,358,362,452,480,467,470,495,414
Unknown,OFI,463,492,442,625,764,776,823,857,858
Unknown,ICPF,674,644,446,457,401,362,383,366,371
Unknown,CG,1,1,1,1,1,1,2,1,1
Unknown,LG,1,1,1,1,1,1,2,3,4
Unknown,HH&NPISH,309,317,121,238,285,228,220,258,281
Unknown,RoW,1363,1578,1490,1789,1844,1796,1785,1781,1865
