Liability,Asset,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
CG,CG,0,0,0,0,5.17,4.1,4.83,3.15,2.66
CG,HH&NPISH,138.07,148.6,163.48,172.52,272.78,282.64,283.69,287.49,309.73
CG,ICPF,245.28,244.58,242.48,256.53,290.2,359.4,373.22,387.61,480.82
CG,LG,47.66,48.83,54.1,53.94,55.77,57.88,67.53,68.62,69.16
CG,MFI,18.1,10.09,39.44,259.1,308.77,417.03,509.47,514.49,572.47
CG,OFI,48.33,67.55,131.89,84.07,91.51,93.5,55.69,52.01,162.44
CG,PC,5.08,5.65,6.15,5.95,4.71,5.33,4.63,4.27,4.05
CG,PNFC,12.07,11.86,11.69,11.45,11.06,10.27,10.61,11.31,13.41
CG,RoW,151.14,179.77,239.83,255.91,404.46,481.11,496.68,475.46,473.19
CG,Unknown,3.58,3.63,3.74,3.8,3.87,3.9,4.06,4.08,4.26
HH&NPISH,HH&NPISH,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
HH&NPISH,ICPF,23.3,25,31.8,27.9,28.1,54.5,45.8,33.3,43.3
HH&NPISH,LG,0.86,1.27,1.38,0.43,0.46,0.53,0.45,0.86,1.3
HH&NPISH,MFI,0.7,1.2,3.4,3.5,3.1,5.5,1.8,4.2,2.8
HH&NPISH,OFI,2.1,4.7,13.1,13.2,13.3,13.2,13.3,13.5,13.6
HH&NPISH,PNFC,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
HH&NPISH,Unknown,0.64,0.61,0.56,0.87,0.85,0.87,0.93,0.91,0.93
ICPF,CG,0,0,0,0,0,0,2.7,1.3,1.3
ICPF,HH&NPISH,2424.7,2501.4,2402.2,2463.8,2616.2,3022.3,3156.6,3027.6,3535.7
ICPF,ICPF,7.1,7.8,9.1,7.7,7.6,12.5,11.4,8.5,10.3
ICPF,LG,2.2,1.8,1.8,1,1.3,0.9,1,3.1,4.7
ICPF,MFI,27.3,51.4,147.6,93.9,87.7,127.3,116.2,116.9,131.7
ICPF,OFI,21.1,17.1,11.8,11.6,48.3,58.2,65,79.1,83.4
ICPF,PNFC,72.5,74.1,58.7,57.2,64.1,70.8,72,81.1,83.1
ICPF,RoW,50.57,40.16,42.38,35.92,36.63,35.1,60.21,65.33,69
ICPF,Unknown,90.37,86.13,60.41,69.39,71.59,63.36,76.15,90.43,108.3
LG,CG,0,0,0,0,0,0,0.2,0.4,0.1
LG,HH&NPISH,2.28,2.96,4.06,4.88,5.21,5.56,7.61,8.56,10.22
