Instrument,Asset,Liability,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
Currency,HH_NPISH,Unknown,37,40,43,44,48,51,53,56,59
Currency,MFI,Unknown,10,8,8,12,10,11,11,11,11
Currency,PNFC,Unknown,3,3,4,4,4,4,5,5,5
Currency,PNFC,RoW,1,1,1,0.0006,1,0.0006,1,0.0006,1
Currency,PC,MFI,1,1,1,1,1,1,0.0006,1,1
Currency,RoW,MFI,1,1,1,1,1,1,1,1,2
Currency,Unknown,CG,4,4,4,4,4,4,4,4,4
Currency,Unknown,MFI,47,48,50,57,59,62,65,67,71
Deposits,CG,RoW,1,1,5,5,6,8,8,7,7
Deposits,CG,MFI,8,10,30,37,20,22,25,20,18
Deposits,CG,CG,0.0006,0.0006,0.0006,0.0006,5,4,5,3,3
Deposits,HH_NPISH,RoW,63,69,78,59,62,68,67,71,72
Deposits,HH_NPISH,CG,79,85,97,98,101,105,103,106,113
Deposits,HH_NPISH,MFI,836,903,951,971,999,1025,1082,1124,1169
Deposits,ICPF,RoW,37,39,50,37,42,50,50,53,53
Deposits,ICPF,MFI,68,84,82,90,79,82,83,95,95
Deposits,LG,MFI,27,31,29,22,23,22,26,26,26
Deposits,LG,CG,0.0006,0.0006,2,3,1,2,2,1,1
Deposits,LG,RoW,1,1,1,0.0006,0.0006,0.0006,0.0006,1,1
Deposits,MFI,MFI,1282,843,925,1142,938,1067,1150,1220,917
Deposits,MFI,RoW,1286,1714,2093,1779,1876,2072,1861,1586,1621
Deposits,OFI,RoW,699,768,630,519,623,669,604,660,681
Deposits,OFI,CG,1,4,12,17,11,15,15,7,17
Deposits,OFI,MFI,484,606,882,910,983,900,861,811,697
Deposits,PNFC,MFI,247,270,263,278,299,293,313,331,358
Deposits,PNFC,CG,5,6,5,5,4,3,3,3,3
Deposits,PNFC,RoW,103,114,138,133,138,137,153,160,145
Deposits,PC,CG,2,2,2,2,2,2,2,2,2
Deposits,PC,MFI,6,4,3,3,2,4,2,3,3
Deposits,RoW,CG,1,1,1,1,1,2,1,1,1
Deposits,RoW,MFI,2371,3143,3597,2926,3019,3225,2977,2688,2678
Short-term debt securities,CG,RoW,3,5,5,6,6,6,5,3,3
Short-term debt securities,CG,MFI,3,1,3,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Short-term debt securities,CG,PNFC,1,0.0006,0.0006,1,2,6,2,4,3
