symbol,date,amount,price
age18-21,1997,5.1,6
age18-21,1998,3,6.7
age18-21,1999,3.6,7.5
age18-21,2000,4.9,5.7
age18-21,2001,3.1,4.7
age18-21,2002,1.5,5.3
age18-21,2003,0.4,3.4
age18-21,2004,1,3.5
age18-21,2005,3,2.2
age18-21,2006,1.8,2.1
age18-21,2007,1,1.5
age18-21,2008,0.3,3
age18-21,2009,0.7,2.1
age18-21,2010,1.4,2.1
age18-21,2011,1.9,4.3
age18-21,2012,1.6,5.7
age18-21,2013,1.1,1.7
age18-21,2014,2.8,4.9
age18-21,2015,1.6,4
age18-21,2016,0,3.3
age18-21,2017,-0.6,3
age22-29,1997,8.1,5.8
age22-29,1998,4.5,5.6
age22-29,1999,-1,5.8
age22-29,2000,3.1,5.2
age22-29,2001,-1.5,4.9
age22-29,2002,0.8,3.2
age22-29,2003,-2.2,1.7
age22-29,2004,1.6,0.5
age22-29,2005,-1.7,-0.5
age22-29,2006,-0.9,0.3
age22-29,2007,0.5,0.2
age22-29,2008,-2.4,0
age22-29,2009,-0.1,0.5
age22-29,2010,-1.6,-1.8
age22-29,2011,-2.5,-2.4
age22-29,2012,-2.1,-3
age22-29,2013,-1.2,-0.7
age22-29,2014,-1.1,-0.8
age22-29,2015,-2.6,-0.8
age22-29,2016,-0.3,0.8
age22-29,2017,-0.5,2.2
age30-39,1997,8.3,11
age30-39,1998,7.9,10.6
age30-39,1999,6.7,9.9
age30-39,2000,4.5,10.2
age30-39,2001,7.4,9.4
age30-39,2002,11.5,8.8
age30-39,2003,10.5,9.5
age30-39,2004,5.4,8.9
age30-39,2005,9.4,8.3
age30-39,2006,9.4,7.1
age30-39,2007,8.3,6.3
age30-39,2008,6,6.7
age30-39,2009,4.5,6.1
age30-39,2010,3.2,2.7
age30-39,2011,-4.8,2.5
age30-39,2012,-3.4,0.7
age30-39,2013,-8.4,1
age30-39,2014,-7.3,-0.2
age30-39,2015,-9.7,0.6
age30-39,2016,-7.7,1.6
age30-39,2017,-7.7,2
age40-49,1997,22.8,24
age40-49,1998,25.7,24.8
age40-49,1999,21.5,23.5
age40-49,2000,25.6,22.9
age40-49,2001,22.1,23.3
age40-49,2002,25,22.3
age40-49,2003,21.5,21.8
age40-49,2004,15.4,20.9
age40-49,2005,24.4,19.9
age40-49,2006,24.2,18.7
age40-49,2007,23,19.1
age40-49,2008,16.9,19.5
age40-49,2009,23.9,18.3
age40-49,2010,13.3,16.1
age40-49,2011,13,16.9
age40-49,2012,8,15.4
age40-49,2013,6.8,15.7
age40-49,2014,3.3,13.7
age40-49,2015,-0.1,12.4
age40-49,2016,0.8,13.4
age40-49,2017,-0.2,13.7
