topic,measure,measure_code,margin_t,margin_r,margin_b,margin_l,ymin,ymax
,Food and non-alcoholic drink,food,5,15,20,25,50,170
,Alcohol and tobacco,alc,10,20,35,20,0,25
,Clothing and footwear,clot,10,20,35,35,50,130
,Housing and fuels,fuel,5,15,35,20,15,75
,Household items and maintenance,main,10,20,35,20,30,60
,Health,heal,10,20,35,35,250,450
,Transport,trans,10,20,35,20,30,75
,Communications,comms,10,25,35,20,0,25
,Recreation,recre,10,20,35,20,50,175
,Education,educa,10,25,35,20,0,40
,Restuarants and hotels,rest,10,25,35,25,60,130
